Code 1,Code 2,Code 3,Code 1Y,Code 2Y,Code 3Y
Silent activities,,,Silent activities,,
Silent activities,,,Silent activities,,
Cooking/eating,,,Cooking/eating,,
Cleaning/Vacuum,,,Cleaning/Vacuum,,
Silent activities,,,Silent activities,,
Talking,,,Talking,,
Silent activities,,,Silent activities,,
Cooking/eating,Cleaning/Vacuum,,Cleaning/Vacuum,Cooking/eating,
Dog Barking,Street Noise,Music,Dog Barking,Street Noise,Music
Silent activities,,,Silent activities,,
Watching TV,,,Watching TV,,
Watching TV,,,Watching TV,,
Music,Talking,Watching TV,Music,Online Videos/game,
Music,Talking,,Music,Talking,
Watching TV,,,Watching TV,,
Silent activities,,,Silent activities,,
Cooking/eating,Watching TV,,Cooking/eating,Watching TV,
Talking,Watching TV,,Watching TV,Talking,
Silent activities,,,Silent activities,,
Cooking/eating,Watching TV,Online Videos/game,Cooking/eating,Watching TV,Online Videos/game
Silent activities,,,Silent activities,,
Online Videos/game,,,Online Videos/game,,
Keyboard,,,Silent activities,,
Silent activities,,,Silent activities,,
,Cooking/eating,,Cooking/eating,,
Watching TV,Online Videos/game,Talking,Watching TV,Music,Talking
Street Noise,,,Street Noise,,
Silent activities,,,Silent activities,,
Cooking/eating,Music,,Cooking/eating,Music,
Watching TV,,,Watching TV,,
