Code 1,Code 2,Code 1Y,Code 2Y
No interruption,,No interruption,
No interruption,,No interruption,
No Talk,,No Talk,
No interruption,,No interruption,
No interruption,,No interruption,
No interruption,,No interruption,
No interruption,,No interruption,
Hide Activities,,Hide Activities,
Hide Activities,,Hide Activities,
No Talk,,No Talk,
No interruption,,No interruption,
No interruption,,No interruption,
No interruption,,No interruption,Hide Activities
No interruption,No Talk,No interruption,Comfort
Hide Activities,,Hide Activities,
No interruption,,No interruption,
Hide Activities,,Hide Activities,
Hide Activities,,Hide Activities,
No interruption,,No interruption,
No Talk,,No Talk,
No interruption,,No interruption,
Hide Activities,,Hide Activities,
Hide Activities,,Hide Activities,
No interruption,,No interruption,
No interruption,,No interruption,
No interruption,Comfort,No interruption,Comfort
No interruption,,No interruption,
No interruption,,No interruption,
Hide Activities,,Hide Activities,
No interruption,,No interruption,
