StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,DistributionChannel,UserLanguage,Q4,Q37,Q7,Q46,Q47,Q48,Q176,Q91,Q56,Q57,Q57_5_TEXT,Q58,Q58_13_TEXT,Q59,Q59_13_TEXT,Q90,Q61,Q104,Q62,Q67,Q69,Q71,Q72,Q107,Q116,Q108,Q114,Q109,Q110,Q111,Q112,Q113,privacyScore,Q62_coded,Q104_coded,Q61_coded,Q62_coded_old
11/11/21 22:22,11/11/21 22:24,0,100,164,1,11/11/21 22:24,R_3PENsnbtdPgDIMy,anonymous,EN,1,1,1,2,5,2,3,8,1,1,,"2,4",,4,,23,To not interrupt the presenter,Play on my phone ,It mutes my sound but I can still hear,23,Random,"3,4",4,1,1,3,5,3,2,2,2,2,2,"Generic,","Silent activities,,","No interruption,","generic,"
11/11/21 22:29,11/11/21 22:35,0,100,350,1,11/11/21 22:35,R_2Vf44oHVljVTFbB,anonymous,EN,1,1,1,2,7,2,1,8,4,1,,"2,3,4,5,11,12",,2,,23,So any accidental or incidental noises on my end aren't disruptive to the meeting.,"Texting/messaging friends, skimming the news",Cuts access between my microphone and the app,23,random,4,4,3,3,3,5,3,3,3,3,3,3,Disable Access,"Silent activities,,","No interruption,","MicToApp,Cut"
11/11/21 23:23,11/11/21 23:28,0,100,300,1,11/11/21 23:28,R_1P5YtfXozigLPVO,anonymous,EN,1,1,1,1,6,1,10,8,1,1,,"2,4,6",,6,,23,when the things being said are not of my concern,"work, make brakefast",it puts a mic sign to tell its muted,22,random,4,4,3,3,3,5,3,2,3,3,3,2.875,"Indicator,","Cooking/eating,,","No Talk,","Visual/UI,"
11/11/21 23:27,11/11/21 23:33,0,100,396,1,11/11/21 23:33,R_3F5sFD7oz1ijoGf,anonymous,EN,1,1,1,2,6,3,1,8,1,3,,"2,4",,4,,23,To cancel out noise when trying to listen.,"I’m sat at my desk, there may be noise from the washing machine in the background.",Silences noise ,23,Random,"1,2,3,4,5",4,-1,3,3,5,3,3,3,3,3,2.5,"Generic,","Cleaning/Vacuum,,","No interruption,","generic,"
11/11/21 23:36,11/11/21 23:41,0,100,260,1,11/11/21 23:41,R_2ZNBVylclbHs98w,anonymous,EN,1,1,1,1,6,2,9,8,1,1,,"2,4,5,6,12",,2,,23,so the sounds from my room won't disturb others,usually none,blocks audio from my microphone to the rest of the call,23,random,"2,3,4,5",4,3,3,3,5,3,2,3,3,3,2.875,"Block Sending,","Silent activities,,","No interruption,","block sending,"
11/11/21 23:39,11/11/21 23:51,0,100,755,1,11/11/21 23:51,R_3qmMi7mBwsQqzZH,anonymous,EN,1,1,1,2,7,2,1,8,1,"1,3",,"2,12",,2,,23,"mainly, when there is too much noise in my environment","Mainly, when there are people around me and I have to give some instruction or listen to some","I can have more control over the meeting, in case some participant has too much noise. control the flow of the meeting",23,random,"2,4",4,3,2,2,5,3,1,1,2,3,2.125,"Block Sending,","Talking,,","No interruption,","block sending,"
11/11/21 23:44,11/11/21 23:51,0,100,421,1,11/11/21 23:51,R_24rdd5yMU7Mybe2,anonymous,EN,1,1,1,1,4,1,1,8,1,1,,"2,3,4,10,12",,2,,23,So I do not disturb anyone else in class,No special activities,It changes the icon of the microphone.,23,random,"2,3,4,5","3,4",2,3,2,5,2,2,2,3,1,2.125,"Indicator,","Silent activities,,","No interruption,","Visual/UI,"
11/11/21 23:46,11/11/21 23:52,0,100,323,1,11/11/21 23:52,R_2ZQyH72N9nDOOvJ,anonymous,EN,1,1,1,1,6,2,10,8,3,1,,"2,4,6,7,12",,4,,23,To perform other activities that would make noise.,"Cleaning the room, cooking, work multitasking",It disables the input audio,23,random,"2,3,4,5",4,2,2,3,5,2,1,1,2,2,1.875,"Disable Access,","Cleaning/Vacuum,Cooking/eating,","Hide Activities,","disable,"
11/11/21 23:20,11/12/21 0:14,0,100,3240,1,11/12/21 0:14,R_1JRSNYfxBRJDydr,anonymous,EN,1,1,1,1,7,2,1,8,1,"1,3",,"2,4,5",,2,,23,So background sounds can't be heard by other people.,"Dogs barking, cars passing in front of my house, neighbours with music, cars honking.",It doesn't send the audio  the microphone captures to the others in the meeting.,23,random,4,4,3,3,3,5,2,2,3,0,1,2.125,"Block Sending,","Dog Barking,Street Noise,Music","Hide Activities,","block sending,"
11/12/21 0:14,11/12/21 0:17,0,100,230,1,11/12/21 0:17,R_80whc8GKsJdtprX,anonymous,EN,1,1,1,1,4,1,9,8,3,1,,"2,4,5",,4,,23,Because I have nothing to add in said moment.,"No activity is on the background when I assist a video meeting, it has my atention.",It mutes my microphone.,23,random,4,4,3,3,3,5,3,3,3,3,3,3,"Generic,","Silent activities,,","No Talk,","generic,"
